               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077615,            0.017209,            0.011197,             0.50617,              0.2743,             0.16307,            0.089495,            0.059965,            0.017269,            0.010265,          0.00014995,          0.00014995,            0.025158
                   1,            0.068748,            0.015225,           0.0093844,             0.54701,             0.27437,             0.20801,             0.11454,            0.057813,            0.016701,           0.0088838,          0.00029349,          0.00029349,          0.00030122
                   2,            0.064333,            0.014387,           0.0083185,             0.36446,             0.34165,             0.28063,             0.16309,            0.054188,            0.015938,           0.0077909,          0.00027479,          0.00027479,          0.00027479
                   3,            0.061964,             0.01418,           0.0076481,             0.53606,             0.34508,             0.31367,             0.18223,            0.053518,            0.015706,            0.007215,          0.00027479,          0.00027479,          0.00027479
                   4,            0.059928,            0.013707,           0.0072922,             0.52625,             0.37794,             0.33923,              0.2029,            0.052256,            0.015475,           0.0069679,          0.00024559,          0.00024559,          0.00024559
                   5,            0.058473,            0.013422,           0.0069652,              0.4127,             0.40186,             0.36701,             0.22513,            0.051945,            0.015333,           0.0067544,          0.00020879,          0.00020879,          0.00020879
                   6,            0.057411,             0.01328,           0.0067121,             0.39049,             0.46244,             0.39875,             0.24645,            0.050881,            0.015069,           0.0064442,            0.000168,            0.000168,            0.000168
                   7,            0.056556,            0.013186,           0.0064433,             0.46561,             0.43138,             0.41892,             0.26039,            0.050345,            0.015072,           0.0062244,          0.00012721,          0.00012721,          0.00012721
                   8,            0.055537,            0.012912,           0.0062452,             0.45212,             0.44837,              0.4309,             0.27153,            0.049913,            0.014851,           0.0061188,          9.0412e-05,          9.0412e-05,          9.0412e-05
                   9,            0.054977,            0.013084,            0.006138,             0.46538,             0.46844,             0.44582,             0.28236,            0.049401,            0.014761,           0.0060102,           6.121e-05,           6.121e-05,           6.121e-05
