               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.067714,              0.0418,           0.0051374,              0.5901,             0.55333,             0.56434,             0.35669,            0.061731,            0.050998,           0.0054182,          0.00019881,          0.00019881,          0.00019881
                  36,            0.067381,            0.041284,           0.0051429,             0.59525,             0.55064,             0.56912,             0.35964,            0.061843,            0.051098,           0.0053794,          0.00019375,          0.00019375,          0.00019375
                  37,            0.067251,             0.04124,           0.0050656,             0.59162,             0.55367,             0.56771,             0.35839,            0.061601,            0.051006,           0.0053554,          0.00018865,          0.00018865,          0.00018865
                  38,            0.067397,            0.042212,            0.005046,             0.57072,             0.57061,             0.56479,             0.35755,            0.061498,            0.050945,           0.0053793,          0.00018351,          0.00018351,          0.00018351
                  39,              0.0673,            0.041198,           0.0050537,              0.5922,             0.55771,             0.57081,             0.36293,            0.061509,            0.050967,           0.0053485,          0.00017836,          0.00017836,          0.00017836
                  40,            0.066841,            0.040714,           0.0049724,              0.6076,             0.54761,             0.57168,             0.36366,            0.061334,             0.05087,           0.0053175,          0.00017318,          0.00017318,          0.00017318
                  41,             0.06659,            0.040569,           0.0049807,             0.58846,             0.56952,             0.57159,               0.363,            0.061302,            0.050979,           0.0053123,            0.000168,            0.000168,            0.000168
                  42,            0.066675,            0.041463,           0.0049149,             0.60662,             0.55159,             0.57029,             0.36336,            0.061323,            0.050994,           0.0053411,          0.00016282,          0.00016282,          0.00016282
                  43,            0.066108,            0.040863,            0.004928,             0.59023,             0.56767,              0.5718,             0.36395,            0.061292,            0.050983,           0.0053128,          0.00015764,          0.00015764,          0.00015764
                  44,            0.066195,            0.040653,           0.0048609,             0.58299,             0.57912,             0.57367,             0.36534,            0.061193,            0.050915,           0.0053142,          0.00015249,          0.00015249,          0.00015249
