epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,54985.2,1.21542,0.52476,1.00481,0.91476,0.62876,0.69323,0.37878,2.04568,1.73651,0.97607,0.0079705,0.0079705,0.0079705
43,56291.1,1.21389,0.52436,1.00488,0.90943,0.63268,0.69298,0.37866,2.0476,1.71606,0.97631,0.007921,0.007921,0.007921
44,57597.4,1.21535,0.52397,1.00477,0.90424,0.63664,0.6932,0.37772,2.04718,1.70104,0.97611,0.0078715,0.0078715,0.0078715
45,58903.7,1.21538,0.52393,1.00428,0.90434,0.63488,0.69151,0.37666,2.04603,1.69456,0.97664,0.007822,0.007822,0.007822
46,60209.9,1.2119,0.52311,1.00408,0.90154,0.63435,0.69098,0.3763,2.04929,1.69915,0.9776,0.0077725,0.0077725,0.0077725
47,61516.8,1.21269,0.52266,1.0045,0.90222,0.63543,0.69187,0.37669,2.05133,1.70483,0.97737,0.007723,0.007723,0.007723
48,62823.8,1.21165,0.52247,1.00471,0.89733,0.63524,0.68997,0.37606,2.05322,1.70835,0.97747,0.0076735,0.0076735,0.0076735
49,64131.2,1.21004,0.52172,1.00444,0.89857,0.63527,0.68959,0.37605,2.05331,1.73065,0.9767,0.007624,0.007624,0.007624
50,65438.8,1.21246,0.52364,1.00464,0.90257,0.63194,0.68858,0.37597,2.05708,1.75332,0.97745,0.0075745,0.0075745,0.0075745
51,66746.9,1.20942,0.5201,1.00354,0.90478,0.63008,0.68779,0.37508,2.05763,1.75634,0.9772,0.007525,0.007525,0.007525
52,68055.6,1.20668,0.51928,1.00128,0.90385,0.63215,0.69011,0.37579,2.05372,1.75054,0.97634,0.0074755,0.0074755,0.0074755
53,69363.4,1.20727,0.51966,1.00298,0.90313,0.63092,0.6902,0.376,2.05315,1.74967,0.97672,0.007426,0.007426,0.007426
54,70672.4,1.20407,0.51708,1.00247,0.89718,0.63329,0.69184,0.37616,2.04817,1.74482,0.97701,0.0073765,0.0073765,0.0073765
55,71981.7,1.20299,0.51692,1.00179,0.9034,0.63018,0.69067,0.37522,2.0469,1.78024,0.97676,0.007327,0.007327,0.007327
56,73290.2,1.20349,0.51672,1.00077,0.90912,0.62841,0.69105,0.37528,2.04631,1.79361,0.97637,0.0072775,0.0072775,0.0072775
57,74599,1.20217,0.51666,1.00074,0.90766,0.62982,0.69061,0.37478,2.04547,1.77253,0.97614,0.007228,0.007228,0.007228
58,75908.9,1.20274,0.51736,1.00239,0.90862,0.62954,0.69103,0.37467,2.04899,1.76845,0.9765,0.0071785,0.0071785,0.0071785
59,77220,1.19903,0.51672,1.00033,0.90752,0.63018,0.69084,0.37497,2.0517,1.79627,0.97704,0.007129,0.007129,0.007129
60,78532.3,1.20025,0.51672,0.99937,0.9057,0.63092,0.69277,0.37605,2.05226,1.80782,0.97742,0.0070795,0.0070795,0.0070795
61,79844.4,1.19936,0.51463,1.00023,0.90976,0.62989,0.69369,0.3768,2.04836,1.78175,0.97699,0.00703,0.00703,0.00703
62,81157.3,1.19694,0.51388,0.99894,0.91007,0.63052,0.69374,0.37652,2.04428,1.79203,0.97629,0.0069805,0.0069805,0.0069805
63,82475.2,1.19628,0.51412,0.99862,0.91308,0.62826,0.69396,0.37673,2.04478,1.80461,0.97582,0.006931,0.006931,0.006931
64,83789.9,1.19792,0.51414,1.00022,0.9183,0.62636,0.69306,0.37635,2.04553,1.79221,0.97623,0.0068815,0.0068815,0.0068815
65,85108.6,1.19398,0.51139,0.99798,0.91516,0.62919,0.69252,0.37581,2.04711,1.78326,0.97645,0.006832,0.006832,0.006832
66,86426.6,1.19247,0.51185,0.99884,0.91707,0.62923,0.69292,0.37628,2.04365,1.78691,0.9767,0.0067825,0.0067825,0.0067825
67,87745,1.19286,0.51189,0.99737,0.91305,0.63105,0.69227,0.37562,2.04538,1.77225,0.97723,0.006733,0.006733,0.006733
68,89065.3,1.18957,0.51013,0.99758,0.91365,0.62936,0.69089,0.37545,2.04648,1.77899,0.97681,0.0066835,0.0066835,0.0066835
69,90383.6,1.19058,0.51052,0.99659,0.91606,0.62722,0.68967,0.37442,2.05282,1.8021,0.9779,0.006634,0.006634,0.006634
70,91703.3,1.18975,0.50951,0.99708,0.9196,0.62289,0.68913,0.37472,2.05346,1.83987,0.97835,0.0065845,0.0065845,0.0065845
71,93024.6,1.18851,0.50852,0.99597,0.91909,0.62341,0.69005,0.37554,2.05294,1.85142,0.97763,0.006535,0.006535,0.006535
72,94343.4,1.18806,0.50828,0.9957,0.91581,0.62307,0.69005,0.3759,2.05338,1.81654,0.97745,0.0064855,0.0064855,0.0064855
73,95657.3,1.18704,0.50803,0.996,0.90905,0.62574,0.69004,0.37686,2.05257,1.80177,0.9775,0.006436,0.006436,0.006436
74,96967.6,1.18817,0.50911,0.99587,0.89852,0.6326,0.69092,0.3774,2.05032,1.7979,0.97749,0.0063865,0.0063865,0.0063865
75,98279.1,1.18605,0.50677,0.99657,0.8961,0.63196,0.6889,0.37673,2.05079,1.79574,0.97854,0.006337,0.006337,0.006337
76,99590.1,1.18563,0.50716,0.99599,0.91418,0.62079,0.68683,0.37581,2.04929,1.77804,0.97863,0.0062875,0.0062875,0.0062875
77,100900,1.18247,0.50553,0.99434,0.91668,0.62081,0.68701,0.37605,2.04899,1.75482,0.97949,0.006238,0.006238,0.006238
78,102210,1.18234,0.5049,0.99467,0.91236,0.62455,0.68702,0.37589,2.0441,1.73635,0.97939,0.0061885,0.0061885,0.0061885
79,103519,1.18001,0.50376,0.99395,0.9125,0.62635,0.68661,0.37659,2.03895,1.74144,0.97833,0.006139,0.006139,0.006139
80,104829,1.18237,0.50455,0.99503,0.91354,0.62671,0.68632,0.3758,2.04125,1.76135,0.97868,0.0060895,0.0060895,0.0060895
81,106140,1.17895,0.50477,0.99484,0.91516,0.62629,0.68621,0.37513,2.04193,1.76419,0.97883,0.00604,0.00604,0.00604
82,107451,1.17767,0.50301,0.99361,0.9172,0.62311,0.68669,0.37379,2.04434,1.75656,0.98032,0.0059905,0.0059905,0.0059905
83,108760,1.17552,0.50148,0.99133,0.91047,0.62661,0.68775,0.37404,2.04318,1.73137,0.98008,0.005941,0.005941,0.005941
84,110070,1.1751,0.50035,0.99294,0.90734,0.62885,0.68702,0.37365,2.04434,1.71827,0.9812,0.0058915,0.0058915,0.0058915
85,111381,1.17548,0.50122,0.99213,0.91145,0.62923,0.68832,0.37412,2.04688,1.72634,0.9811,0.005842,0.005842,0.005842
86,112692,1.17443,0.50107,0.99199,0.90887,0.62993,0.68829,0.37438,2.0506,1.74258,0.98205,0.0057925,0.0057925,0.0057925
87,114001,1.17239,0.49979,0.99135,0.90961,0.62756,0.68673,0.37405,2.04864,1.75818,0.98102,0.005743,0.005743,0.005743
88,115312,1.17229,0.50046,0.99121,0.91504,0.62415,0.68637,0.37425,2.04784,1.78077,0.98068,0.0056935,0.0056935,0.0056935
89,116624,1.17039,0.49882,0.98999,0.91788,0.6235,0.68515,0.37328,2.05355,1.78839,0.97986,0.005644,0.005644,0.005644
90,117934,1.16523,0.49675,0.98942,0.91878,0.62519,0.68565,0.37234,2.05543,1.78868,0.98088,0.0055945,0.0055945,0.0055945
91,119245,1.16738,0.49696,0.99025,0.91672,0.62616,0.68747,0.3729,2.05779,1.77028,0.98208,0.005545,0.005545,0.005545
92,120556,1.16841,0.49706,0.98958,0.91208,0.62929,0.68683,0.37327,2.05669,1.75966,0.98189,0.0054955,0.0054955,0.0054955
93,121866,1.1672,0.49609,0.9904,0.91201,0.62929,0.68599,0.37287,2.05173,1.76191,0.98134,0.005446,0.005446,0.005446
94,123175,1.16623,0.49529,0.98953,0.91323,0.62822,0.68615,0.37321,2.05049,1.76994,0.98092,0.0053965,0.0053965,0.0053965
95,124485,1.16315,0.4951,0.9897,0.90967,0.62977,0.68745,0.37416,2.04608,1.78053,0.97978,0.005347,0.005347,0.005347
96,125794,1.16245,0.49442,0.99073,0.91375,0.62692,0.68762,0.37391,2.04604,1.78727,0.98057,0.0052975,0.0052975,0.0052975
