               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.051332,            0.011615,           0.0047561,             0.59884,             0.55174,             0.56716,             0.36178,            0.046316,            0.013658,           0.0047827,          0.00019881,          0.00019881,          0.00019881
                  36,            0.051231,            0.011554,           0.0047253,              0.6068,             0.54872,             0.57518,             0.36924,            0.046269,            0.013617,           0.0047967,          0.00019375,          0.00019375,          0.00019375
                  37,            0.051263,            0.011932,           0.0047313,             0.58456,             0.57759,             0.57798,              0.3705,            0.046257,            0.013608,           0.0047411,          0.00018865,          0.00018865,          0.00018865
                  38,            0.050814,            0.011447,           0.0046524,             0.59644,              0.5631,             0.57781,             0.36949,            0.046173,            0.013602,           0.0047347,          0.00018351,          0.00018351,          0.00018351
                  39,            0.050716,            0.011729,           0.0046198,             0.60321,             0.56903,             0.58075,             0.37227,            0.046033,            0.013595,           0.0047155,          0.00017836,          0.00017836,          0.00017836
                  40,            0.050678,            0.011715,           0.0046075,              0.5889,             0.58041,             0.58135,             0.37299,            0.046137,            0.013621,           0.0047101,          0.00017318,          0.00017318,          0.00017318
                  41,            0.050771,            0.011696,           0.0045844,             0.58548,             0.59062,             0.58359,              0.3733,            0.046066,            0.013564,            0.004675,            0.000168,            0.000168,            0.000168
                  42,            0.050663,            0.011722,           0.0045415,             0.60532,             0.57003,             0.58537,             0.37526,            0.046038,            0.013593,           0.0046585,          0.00016282,          0.00016282,          0.00016282
                  43,            0.050507,            0.011724,           0.0044964,             0.59239,             0.58667,              0.5873,             0.37643,            0.045976,             0.01354,           0.0046508,          0.00015764,          0.00015764,          0.00015764
                  44,            0.050227,            0.011442,           0.0044782,             0.61587,             0.57848,             0.59125,              0.3787,            0.045871,            0.013539,           0.0046253,          0.00015249,          0.00015249,          0.00015249
                  45,            0.050123,            0.011235,           0.0043868,             0.60631,             0.58345,             0.58872,             0.37751,            0.045793,            0.013544,           0.0046259,          0.00014735,          0.00014735,          0.00014735
                  46,            0.049727,            0.011434,           0.0043998,             0.60698,             0.57823,             0.59265,             0.38086,            0.045853,            0.013515,           0.0046134,          0.00014225,          0.00014225,          0.00014225
                  47,            0.050118,            0.011488,           0.0043731,             0.61677,             0.58284,             0.59329,             0.38144,            0.045817,            0.013509,           0.0046189,          0.00013719,          0.00013719,          0.00013719
                  48,            0.049276,             0.01138,           0.0042776,             0.61832,             0.58444,             0.59371,             0.38121,            0.045763,            0.013527,           0.0045789,          0.00013217,          0.00013217,          0.00013217
                  49,             0.04948,            0.011398,           0.0043051,             0.63447,             0.57082,             0.59511,             0.38361,            0.045652,            0.013502,           0.0045638,          0.00012721,          0.00012721,          0.00012721
                  50,            0.049133,            0.011251,           0.0042525,             0.62911,             0.57438,             0.59967,             0.38659,            0.045673,            0.013507,           0.0045623,          0.00012231,          0.00012231,          0.00012231
                  51,            0.049182,            0.011181,           0.0042061,             0.62775,             0.57877,             0.59878,             0.38611,            0.045721,            0.013503,           0.0045634,          0.00011749,          0.00011749,          0.00011749
                  52,            0.049155,            0.011339,           0.0042272,             0.62457,             0.58445,             0.59882,             0.38688,            0.045642,            0.013506,           0.0045676,          0.00011274,          0.00011274,          0.00011274
                  53,            0.048756,            0.011227,           0.0042084,             0.63982,             0.57392,             0.59734,             0.38391,            0.045634,            0.013511,           0.0045734,          0.00010807,          0.00010807,          0.00010807
                  54,            0.048715,            0.011277,           0.0041406,             0.63325,             0.58007,             0.59823,              0.3843,             0.04568,            0.013512,           0.0045686,           0.0001035,           0.0001035,           0.0001035
                  55,            0.048609,            0.011135,           0.0041019,             0.63158,             0.57588,             0.59546,             0.38364,            0.045562,            0.013504,           0.0045563,           9.903e-05,           9.903e-05,           9.903e-05
                  56,            0.048569,             0.01113,            0.004087,             0.65425,             0.56841,             0.60259,             0.38666,            0.045667,             0.01351,           0.0045407,          9.4665e-05,          9.4665e-05,          9.4665e-05
                  57,            0.048491,            0.011143,           0.0040511,              0.6331,              0.5851,             0.60511,             0.38919,            0.045577,            0.013496,            0.004537,          9.0412e-05,          9.0412e-05,          9.0412e-05
                  58,            0.048421,             0.01129,           0.0040407,             0.64848,             0.57386,             0.60504,             0.38886,            0.045528,             0.01349,           0.0045407,           8.628e-05,           8.628e-05,           8.628e-05
                  59,            0.048238,            0.011103,           0.0040036,             0.63502,             0.58712,             0.60483,             0.38964,            0.045566,            0.013502,           0.0045092,          8.2273e-05,          8.2273e-05,          8.2273e-05
                  60,            0.048418,            0.011271,           0.0040376,             0.64463,             0.58024,             0.60329,             0.38835,            0.045519,            0.013489,           0.0045242,          7.8398e-05,          7.8398e-05,          7.8398e-05
                  61,            0.047763,            0.010805,           0.0039389,             0.63998,             0.57934,             0.60406,             0.38893,            0.045494,             0.01351,           0.0045208,          7.4662e-05,          7.4662e-05,          7.4662e-05
                  62,            0.047653,            0.010982,           0.0038887,              0.6188,             0.59537,             0.60557,             0.39019,            0.045555,            0.013503,           0.0045221,          7.1069e-05,          7.1069e-05,          7.1069e-05
                  63,            0.047649,            0.010879,           0.0039111,             0.63889,             0.58441,             0.60582,             0.39061,            0.045492,            0.013523,           0.0045293,          6.7626e-05,          6.7626e-05,          6.7626e-05
                  64,             0.04775,             0.01116,           0.0039092,             0.64815,             0.57973,             0.61053,             0.39255,            0.045446,            0.013476,           0.0045152,          6.4338e-05,          6.4338e-05,          6.4338e-05
                  65,             0.04756,            0.010945,           0.0038539,             0.67999,             0.55751,             0.60685,             0.39011,            0.045533,            0.013501,           0.0045211,           6.121e-05,           6.121e-05,           6.121e-05
                  66,            0.047512,            0.011037,           0.0038217,             0.64679,             0.58047,             0.60588,             0.39016,            0.045529,            0.013501,           0.0045322,          5.8246e-05,          5.8246e-05,          5.8246e-05
                  67,            0.047177,            0.010828,           0.0037774,             0.64294,             0.58282,             0.60758,             0.39127,            0.045479,            0.013517,           0.0045211,          5.5451e-05,          5.5451e-05,          5.5451e-05
