               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,              0.0523,            0.011978,           0.0048293,              0.5799,             0.55446,             0.56034,             0.35992,            0.047517,            0.014173,             0.00493,          0.00019881,          0.00019881,          0.00019881
                  36,            0.052306,            0.012166,           0.0047865,             0.59843,             0.54469,             0.56942,             0.36494,            0.047432,            0.014142,           0.0049162,          0.00019375,          0.00019375,          0.00019375
                  37,            0.052414,            0.012373,           0.0047858,             0.62417,             0.53048,             0.56709,             0.36279,            0.047483,            0.014141,           0.0048833,          0.00018865,          0.00018865,          0.00018865
                  38,            0.051917,            0.012243,           0.0047144,             0.61973,              0.5316,             0.56807,             0.36361,            0.047411,            0.014118,           0.0049207,          0.00018351,          0.00018351,          0.00018351
                  39,            0.051534,            0.011868,           0.0046616,             0.61261,             0.53829,             0.56932,             0.36594,            0.047363,            0.014139,           0.0049544,          0.00017836,          0.00017836,          0.00017836
                  40,            0.051677,            0.012057,            0.004648,             0.59927,             0.55624,             0.57102,             0.36548,            0.047368,            0.014096,            0.004868,          0.00017318,          0.00017318,          0.00017318
                  41,            0.051731,            0.012072,             0.00463,              0.6165,             0.54988,             0.57312,             0.36642,            0.047194,            0.014087,           0.0048581,            0.000168,            0.000168,            0.000168
                  42,            0.051179,             0.01183,           0.0045748,             0.62173,             0.54592,             0.57263,             0.36771,            0.047112,            0.014087,           0.0048583,          0.00016282,          0.00016282,          0.00016282
                  43,            0.050994,            0.011826,           0.0045709,             0.63237,               0.546,             0.57631,             0.37152,            0.047067,            0.014029,           0.0048029,          0.00015764,          0.00015764,          0.00015764
                  44,            0.051202,            0.011888,            0.004588,             0.63134,             0.54604,             0.57597,             0.37065,            0.047006,            0.014017,           0.0048295,          0.00015249,          0.00015249,          0.00015249
                  45,            0.050647,            0.011794,           0.0044897,             0.63056,               0.553,             0.57906,             0.37214,            0.046993,            0.013999,           0.0047873,          0.00014735,          0.00014735,          0.00014735
                  46,            0.050865,             0.01176,           0.0044847,             0.62526,             0.55283,             0.58026,             0.37176,            0.046995,            0.014015,           0.0047754,          0.00014225,          0.00014225,          0.00014225
                  47,            0.050636,            0.011821,           0.0044533,             0.60911,             0.56697,             0.58202,             0.37312,            0.046929,            0.014013,           0.0047802,          0.00013719,          0.00013719,          0.00013719
                  48,             0.05035,            0.011803,           0.0044419,             0.63442,             0.55299,             0.58391,             0.37411,            0.046848,            0.013979,           0.0047462,          0.00013217,          0.00013217,          0.00013217
                  49,            0.050181,            0.011684,           0.0044029,             0.63194,             0.55449,             0.58328,              0.3749,            0.046827,            0.013966,           0.0047597,          0.00012721,          0.00012721,          0.00012721
                  50,            0.050256,            0.011767,           0.0043678,             0.63786,             0.54832,             0.58403,             0.37528,            0.046888,            0.013963,            0.004785,          0.00012231,          0.00012231,          0.00012231
                  51,            0.049992,             0.01166,           0.0043583,             0.63001,             0.55122,             0.58192,              0.3747,            0.046837,            0.013991,           0.0047786,          0.00011749,          0.00011749,          0.00011749
                  52,             0.04989,            0.011658,           0.0043232,             0.61414,             0.56037,             0.58336,             0.37435,            0.046771,            0.013957,           0.0047545,          0.00011274,          0.00011274,          0.00011274
                  53,            0.049922,            0.011544,           0.0042942,             0.62687,             0.55284,             0.58351,             0.37628,            0.046705,            0.013958,           0.0047572,          0.00010807,          0.00010807,          0.00010807
                  54,            0.049808,            0.011661,           0.0042589,             0.65452,             0.53879,             0.58391,             0.37624,            0.046848,            0.013976,           0.0048028,           0.0001035,           0.0001035,           0.0001035
                  55,            0.049541,            0.011481,            0.004221,             0.64307,             0.54915,             0.58652,             0.37756,             0.04677,            0.013947,           0.0047752,           9.903e-05,           9.903e-05,           9.903e-05
                  56,            0.049281,            0.011373,            0.004171,             0.63196,             0.55861,             0.58754,             0.37764,            0.046687,            0.013926,           0.0047529,          9.4665e-05,          9.4665e-05,          9.4665e-05
                  57,            0.049575,             0.01162,           0.0041991,             0.62127,             0.56189,             0.58716,             0.37853,            0.046732,            0.013933,           0.0047381,          9.0412e-05,          9.0412e-05,          9.0412e-05
                  58,            0.049197,            0.011393,           0.0041796,             0.63499,              0.5565,             0.58845,             0.37925,            0.046595,            0.013907,           0.0047174,           8.628e-05,           8.628e-05,           8.628e-05
                  59,            0.049185,            0.011491,           0.0041345,             0.63241,             0.55858,             0.59024,             0.38007,            0.046598,            0.013911,           0.0047186,          8.2273e-05,          8.2273e-05,          8.2273e-05
                  60,            0.049095,             0.01143,           0.0041156,             0.63426,             0.55798,             0.58938,             0.37932,            0.046552,            0.013901,           0.0047008,          7.8398e-05,          7.8398e-05,          7.8398e-05
                  61,            0.048944,             0.01141,           0.0040756,             0.62602,             0.56495,             0.58759,             0.37852,             0.04654,            0.013921,           0.0047457,          7.4662e-05,          7.4662e-05,          7.4662e-05
                  62,             0.04866,            0.011291,           0.0040365,             0.64872,             0.55141,             0.58797,             0.37887,            0.046586,            0.013928,           0.0047541,          7.1069e-05,          7.1069e-05,          7.1069e-05
                  63,            0.048804,             0.01142,           0.0040124,             0.63655,             0.55845,             0.58988,             0.37985,            0.046587,            0.013911,           0.0047406,          6.7626e-05,          6.7626e-05,          6.7626e-05
                  64,            0.048531,            0.011355,           0.0040212,             0.62422,             0.56696,             0.59091,             0.38037,            0.046497,            0.013895,           0.0047243,          6.4338e-05,          6.4338e-05,          6.4338e-05
                  65,            0.048392,            0.011457,           0.0039826,             0.62494,             0.56505,             0.58941,             0.37957,            0.046543,            0.013934,           0.0047596,           6.121e-05,           6.121e-05,           6.121e-05
                  66,            0.048191,            0.011317,           0.0039542,             0.63562,             0.55969,             0.58931,              0.3808,            0.046526,            0.013927,           0.0047456,          5.8246e-05,          5.8246e-05,          5.8246e-05
                  67,            0.048335,             0.01152,            0.003978,             0.61593,             0.57542,             0.59313,             0.38257,            0.046501,            0.013892,           0.0047443,          5.5451e-05,          5.5451e-05,          5.5451e-05
                  68,            0.048254,              0.0114,           0.0039914,             0.65793,             0.54355,             0.58968,             0.38009,            0.046523,            0.013928,           0.0047475,          5.2831e-05,          5.2831e-05,          5.2831e-05
                  69,            0.048116,            0.011142,           0.0039206,             0.63461,             0.55927,             0.58937,             0.37943,            0.046552,            0.013929,           0.0047542,          5.0387e-05,          5.0387e-05,          5.0387e-05
                  70,            0.047965,            0.011241,           0.0039189,             0.62292,             0.56614,              0.5882,             0.37948,            0.046565,            0.013935,           0.0047585,          4.8125e-05,          4.8125e-05,          4.8125e-05
                  71,            0.048072,            0.011269,           0.0039124,             0.61984,              0.5671,             0.58808,             0.37968,            0.046567,            0.013942,           0.0047666,          4.6048e-05,          4.6048e-05,          4.6048e-05
                  72,            0.047852,            0.011066,           0.0038466,             0.64793,             0.54932,             0.58797,             0.37947,            0.046518,            0.013923,           0.0047564,          4.4159e-05,          4.4159e-05,          4.4159e-05
                  73,             0.04779,            0.011311,           0.0038865,              0.6428,              0.5503,             0.58841,             0.38002,             0.04652,            0.013955,           0.0047669,          4.2461e-05,          4.2461e-05,          4.2461e-05
                  74,            0.047563,            0.011092,           0.0037957,             0.64985,             0.54684,             0.58732,             0.37988,            0.046549,            0.013954,           0.0047549,          4.0956e-05,          4.0956e-05,          4.0956e-05
                  75,            0.047466,             0.01098,           0.0038001,             0.62888,              0.5626,             0.58789,             0.37989,            0.046553,            0.013936,           0.0047591,          3.9647e-05,          3.9647e-05,          3.9647e-05
                  76,            0.047455,            0.011112,           0.0038066,             0.62871,             0.56361,             0.58949,             0.38133,            0.046539,            0.013933,           0.0047559,          3.8536e-05,          3.8536e-05,          3.8536e-05
                  77,            0.047414,            0.011188,           0.0038008,             0.65728,             0.54332,             0.58821,             0.38005,             0.04657,            0.013952,           0.0047658,          3.7625e-05,          3.7625e-05,          3.7625e-05
                  78,            0.047434,            0.011098,           0.0038047,              0.6539,             0.54489,             0.58889,             0.38064,            0.046562,            0.013928,           0.0047497,          3.6915e-05,          3.6915e-05,          3.6915e-05
                  79,             0.04726,            0.011109,           0.0037298,              0.6434,             0.55046,             0.58925,              0.3812,            0.046554,            0.013948,           0.0047502,          3.6407e-05,          3.6407e-05,          3.6407e-05
