               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.057335,             0.01682,           0.0052796,             0.56937,             0.51783,             0.52961,             0.33081,            0.050178,            0.018219,           0.0051192,          0.00019881,          0.00019881,          0.00019881
                  36,            0.057262,             0.01674,           0.0052501,             0.56594,             0.52626,             0.53348,              0.3344,            0.050068,            0.018239,           0.0051059,          0.00019375,          0.00019375,          0.00019375
                  37,            0.056836,            0.016205,           0.0051508,             0.54522,             0.54017,             0.53421,             0.33555,            0.050061,            0.018216,            0.005075,          0.00018865,          0.00018865,          0.00018865
                  38,             0.05659,            0.016517,           0.0051458,             0.54866,             0.54034,             0.53746,             0.33681,            0.050082,            0.018236,           0.0050568,          0.00018351,          0.00018351,          0.00018351
                  39,            0.056663,            0.016222,           0.0050891,             0.55112,             0.53767,             0.53848,             0.33865,            0.049793,            0.018129,           0.0050634,          0.00017836,          0.00017836,          0.00017836
                  40,            0.056467,            0.016375,           0.0050723,             0.56706,             0.53609,             0.53879,             0.33761,            0.049926,            0.018165,           0.0050444,          0.00017318,          0.00017318,          0.00017318
                  41,            0.056623,            0.016062,           0.0049986,             0.57909,             0.53146,             0.54343,             0.34087,            0.049735,            0.018178,           0.0050371,            0.000168,            0.000168,            0.000168
                  42,            0.056513,            0.016293,           0.0050116,             0.58987,             0.52116,             0.54228,             0.34069,             0.04971,            0.018082,           0.0050178,          0.00016282,          0.00016282,          0.00016282
                  43,            0.056362,            0.016065,            0.005026,             0.57371,             0.54459,             0.54799,             0.34345,             0.04975,            0.018081,            0.005021,          0.00015764,          0.00015764,          0.00015764
                  44,            0.056258,            0.016167,           0.0049571,             0.57782,             0.54526,             0.54764,             0.34317,            0.049678,            0.018065,           0.0049734,          0.00015249,          0.00015249,          0.00015249
                  45,            0.055947,            0.016074,           0.0049642,             0.56823,             0.55153,             0.55029,             0.34534,            0.049571,            0.017968,           0.0049577,          0.00014735,          0.00014735,          0.00014735
                  46,            0.055987,            0.016095,           0.0049481,             0.56175,             0.55563,             0.55139,             0.34516,            0.049549,             0.01805,           0.0049598,          0.00014225,          0.00014225,          0.00014225
                  47,            0.055767,            0.015879,           0.0048898,             0.58496,              0.5409,              0.5526,             0.34795,            0.049515,            0.018015,           0.0049401,          0.00013719,          0.00013719,          0.00013719
                  48,            0.055967,             0.01621,           0.0048637,             0.56721,             0.55757,             0.55689,             0.35016,            0.049453,            0.018071,           0.0049359,          0.00013217,          0.00013217,          0.00013217
                  49,            0.055615,             0.01577,           0.0049026,             0.56994,             0.55594,             0.55596,              0.3491,             0.04937,            0.018034,           0.0049139,          0.00012721,          0.00012721,          0.00012721
                  50,            0.055462,            0.015913,           0.0048375,             0.58707,             0.54378,             0.55678,                0.35,            0.049356,            0.017995,           0.0048866,          0.00012231,          0.00012231,          0.00012231
                  51,            0.055304,            0.015606,           0.0048245,             0.57451,             0.55548,              0.5592,             0.35169,            0.049313,            0.017999,            0.004899,          0.00011749,          0.00011749,          0.00011749
                  52,             0.05556,            0.015812,           0.0047127,             0.59572,             0.54336,             0.55938,             0.35259,            0.049317,            0.017963,           0.0049069,          0.00011274,          0.00011274,          0.00011274
                  53,            0.055067,            0.015707,           0.0047481,             0.61426,             0.53377,             0.56183,             0.35406,            0.049296,            0.017996,           0.0048645,          0.00010807,          0.00010807,          0.00010807
                  54,            0.055054,            0.015504,           0.0047506,             0.60989,             0.53794,             0.56108,             0.35375,            0.049286,            0.017986,           0.0048689,           0.0001035,           0.0001035,           0.0001035
                  55,            0.054994,            0.015436,           0.0046901,             0.60555,             0.54266,             0.56339,             0.35575,             0.04921,            0.017972,           0.0048548,           9.903e-05,           9.903e-05,           9.903e-05
                  56,            0.055195,            0.015594,            0.004682,             0.61911,             0.53197,             0.56722,             0.35709,             0.04921,            0.018001,           0.0048389,          9.4665e-05,          9.4665e-05,          9.4665e-05
                  57,            0.055029,            0.015452,           0.0046773,             0.59178,             0.55091,             0.56513,             0.35651,            0.049097,            0.017925,           0.0048363,          9.0412e-05,          9.0412e-05,          9.0412e-05
                  58,            0.054616,            0.015387,           0.0046388,             0.59571,             0.55459,             0.56743,             0.35847,            0.049107,            0.017914,           0.0048295,           8.628e-05,           8.628e-05,           8.628e-05
                  59,            0.054699,            0.015406,           0.0046267,             0.59452,             0.55607,             0.56853,               0.359,            0.049093,            0.017906,           0.0048289,          8.2273e-05,          8.2273e-05,          8.2273e-05
                  60,            0.054598,            0.015335,           0.0045824,             0.58737,             0.56666,             0.57197,             0.36114,            0.049112,            0.017858,           0.0048106,          7.8398e-05,          7.8398e-05,          7.8398e-05
                  61,            0.054316,            0.015043,           0.0045612,             0.59505,             0.56337,             0.57113,             0.36076,            0.049104,            0.017823,           0.0048154,          7.4662e-05,          7.4662e-05,          7.4662e-05
                  62,            0.054265,            0.015002,           0.0045192,             0.62762,             0.53437,             0.57027,             0.36067,            0.049004,            0.017854,           0.0048045,          7.1069e-05,          7.1069e-05,          7.1069e-05
                  63,            0.054131,            0.015305,           0.0045337,             0.61797,             0.54955,             0.57359,             0.36272,            0.049027,            0.017843,           0.0047973,          6.7626e-05,          6.7626e-05,          6.7626e-05
                  64,            0.054257,            0.015081,           0.0044935,             0.59858,             0.56576,             0.57304,             0.36291,            0.049044,            0.017868,            0.004797,          6.4338e-05,          6.4338e-05,          6.4338e-05
                  65,            0.053883,            0.015205,           0.0045199,             0.59968,             0.55995,             0.57273,             0.36248,            0.049023,            0.017881,           0.0047912,           6.121e-05,           6.121e-05,           6.121e-05
                  66,            0.053971,            0.015195,           0.0044868,             0.60401,             0.55662,             0.57419,             0.36333,            0.048975,            0.017886,           0.0047819,          5.8246e-05,          5.8246e-05,          5.8246e-05
                  67,            0.053856,            0.015132,           0.0044988,              0.6077,             0.56304,             0.57609,             0.36546,             0.04896,            0.017863,           0.0047745,          5.5451e-05,          5.5451e-05,          5.5451e-05
                  68,            0.053969,            0.015164,           0.0044732,             0.61637,             0.55843,             0.57756,             0.36574,            0.048899,            0.017884,           0.0047778,          5.2831e-05,          5.2831e-05,          5.2831e-05
                  69,            0.053463,            0.014675,           0.0044227,             0.60886,             0.55826,             0.57562,             0.36499,            0.048925,            0.017862,           0.0047795,          5.0387e-05,          5.0387e-05,          5.0387e-05
                  70,            0.053651,            0.014821,           0.0044522,             0.61979,             0.55325,             0.57774,             0.36558,            0.048925,            0.017861,           0.0047644,          4.8125e-05,          4.8125e-05,          4.8125e-05
                  71,            0.053737,             0.01478,           0.0043923,             0.60294,             0.56735,             0.57927,             0.36751,            0.048922,             0.01785,           0.0047639,          4.6048e-05,          4.6048e-05,          4.6048e-05
                  72,            0.053506,            0.014803,           0.0043643,             0.59944,             0.57362,             0.58071,             0.36754,             0.04892,            0.017839,           0.0047516,          4.4159e-05,          4.4159e-05,          4.4159e-05
                  73,            0.053505,            0.015246,            0.004367,             0.61641,             0.55793,             0.58027,             0.36792,            0.048842,            0.017867,           0.0047447,          4.2461e-05,          4.2461e-05,          4.2461e-05
                  74,             0.05346,            0.014903,            0.004368,             0.63165,             0.54767,             0.57931,             0.36725,            0.048872,            0.017889,           0.0047407,          4.0956e-05,          4.0956e-05,          4.0956e-05
                  75,            0.053368,            0.015103,           0.0043569,             0.61891,             0.56092,             0.57974,             0.36748,            0.048862,            0.017889,           0.0047413,          3.9647e-05,          3.9647e-05,          3.9647e-05
                  76,            0.053206,            0.014811,           0.0043204,             0.61187,             0.56515,             0.58024,             0.36703,            0.048872,            0.017878,           0.0047448,          3.8536e-05,          3.8536e-05,          3.8536e-05
                  77,            0.053297,            0.014798,           0.0043506,             0.63073,              0.5501,             0.58105,             0.36838,             0.04887,            0.017897,           0.0047529,          3.7625e-05,          3.7625e-05,          3.7625e-05
                  78,            0.053074,            0.014895,           0.0043027,              0.6338,             0.55142,              0.5817,              0.3684,            0.048867,             0.01789,           0.0047525,          3.6915e-05,          3.6915e-05,          3.6915e-05
                  79,            0.053114,            0.014839,           0.0043022,             0.62357,             0.55685,             0.58194,             0.36909,            0.048852,            0.017891,           0.0047604,          3.6407e-05,          3.6407e-05,          3.6407e-05
